service_id,date,exception_type
1,20240101,2
1,20240115,2
1,20240527,2
1,20240219,2
1,20240619,2
1,20240704,2
1,20240902,2
1,20241014,2
1,20241111,2
1,20241128,2
1,20241225,2
first_fri,20240503,1
first_fri,20240607,1
first_fri,20240705,1
first_fri,20240802,1
first_fri,20240906,1
first_fri,20241004,1
weds,20240501,1
weds,20240605,1
weds,20240703,1
weds,20240807,1
weds,20240904,1
weds,20241002,1
1,20241129,2
1,20241224,2
1,20240329,2
2,20240115,1
2,20240219,1
2,20240329,1
2,20241111,1
