agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,continuous_pickup,continuous_drop_off,network_id
SVRTA,Blue,Blue,Blue - Fourth Street,,3,8DB4E2,FFFFFF,0,0,local
SVRTA,Red,Red,Red - City Limits,,3,DA9694,FFFFFF,0,0,local
SVRTA,Orange,Orange,Orange - Mingo Junction,Orange - Call 740-282-6145 for Route Deviation,3,FABF8F,FFFFFF,,,local
SVRTA,WedWintersville,Wednesdays in Wintersville,Wednesdays in Wintersville,,3,D8E4BC,FFFFFF,0,0,local
SVRTA,Green,Green,Green - Wintersville,Green - Call 740-282-6145 for Route Deviation,3,C4D79B,FFFFFF,0,0,local
SVRTA,GreenXP,Green,Green - Express,,3,C4D79B,FFFFFF,,,local
SVRTA,MnTripper,Mingo,Mingo Tripper,,3,C4BD97,FFFFFF,,,local
SVRTA,RaylandTripper,Rayland,Rayland - Tripper,,3,C4BD97,FFFFFF,,,rayland
SVRTA,PurpleXP,Purple,Purple - Express,,3,CCC0DA,FFFFFF,,,local
SVRTA,RobinsonW,Robinson,Robinson - Weirton,Robinson/Weirton - Call 740-282-6145 for Route Deviation,3,92CDDC,FFFFFF,,,robinson
SVRTA,RobinsonSat,Robinson,Robinson - Saturday,,3,92CDDC,FFFFFF,,,robinson
SVRTA,SteubenvilleSat,Steubenville - Saturday,Steubenville - Saturday,,3,DA9694,FFFFFF,0,0,local
SVRTA,WintervilleSat,Wintersville - Saturday,Wintersville - Saturday,,3,C4D79B,FFFFFF,0,0,local
SVRTA,FirstFridays,First Fridays,First Fridays Shuttle,,3,F2DCDB,FFFFFF,0,0,local
